investor_id,transaction_date,amfi_code,transaction_type,amount_inr,state,city,city_tier,age_group,gender,annual_income_lakh,payment_mode,kyc_status,date,amount
INV003926,2024-01-02,118632,Sip,1891,West Bengal,Kolkata,T30,46-55,Male,92.8,UPI,VERIFIED,2024-01-02,1891
INV003383,2024-01-02,125497,Redemption,241316,Karnataka,Mysore,B30,18-25,Male,4.6,Net Banking,VERIFIED,2024-01-02,241316
INV001017,2024-01-02,118632,Redemption,16893,West Bengal,Kolkata,T30,26-35,Female,19.0,Cheque,VERIFIED,2024-01-02,16893
INV003225,2024-01-02,120843,Sip,3346,West Bengal,Kolkata,T30,26-35,Male,9.2,UPI,VERIFIED,2024-01-02,3346
INV003892,2024-01-02,102887,Sip,7250,Punjab,Amritsar,B30,46-55,Male,24.4,Mandate,VERIFIED,2024-01-02,7250
INV002135,2024-01-02,100016,Lumpsum,437305,Gujarat,Ahmedabad,T30,56+,Male,18.3,Net Banking,VERIFIED,2024-01-02,437305
INV002961,2024-01-02,149322,Sip,16811,Gujarat,Ahmedabad,T30,26-35,Male,13.0,Net Banking,VERIFIED,2024-01-02,16811
INV000983,2024-01-02,101208,Sip,10547,Telangana,Hyderabad,T30,36-45,Male,33.5,Net Banking,VERIFIED,2024-01-02,10547
INV003821,2024-01-02,119092,Sip,7584,Delhi,Noida,T30,18-25,Female,6.4,UPI,PENDING,2024-01-02,7584
INV002940,2024-01-02,102886,Sip,966,Haryana,Faridabad,B30,26-35,Male,18.3,Cheque,VERIFIED,2024-01-02,966
INV002817,2024-01-02,102886,Lumpsum,26453,Gujarat,Ahmedabad,T30,26-35,Male,15.8,UPI,VERIFIED,2024-01-02,26453
INV001890,2024-01-02,120504,Sip,859,Madhya Pradesh,Bhopal,B30,26-35,Male,21.9,Mandate,VERIFIED,2024-01-02,859
INV001888,2024-01-02,120505,Redemption,410786,Delhi,New Delhi,T30,18-25,Female,6.4,UPI,VERIFIED,2024-01-02,410786
INV000370,2024-01-02,118634,Sip,17394,Delhi,Noida,T30,26-35,Female,12.4,Mandate,VERIFIED,2024-01-02,17394
INV002981,2024-01-02,102886,Lumpsum,100110,Maharashtra,Mumbai,T30,18-25,Female,7.3,Mandate,VERIFIED,2024-01-02,100110
INV003027,2024-01-02,148569,Lumpsum,330642,Telangana,Hyderabad,T30,26-35,Male,20.8,Cheque,VERIFIED,2024-01-02,330642
INV001106,2024-01-02,118636,Lumpsum,50410,Tamil Nadu,Chennai,T30,26-35,Male,13.1,Net Banking,VERIFIED,2024-01-02,50410
INV003942,2024-01-02,118632,Sip,16594,Haryana,Faridabad,B30,26-35,Female,23.3,Cheque,VERIFIED,2024-01-02,16594
INV000339,2024-01-02,101207,Redemption,383487,Uttar Pradesh,Kanpur,B30,26-35,Male,22.3,Cheque,VERIFIED,2024-01-02,383487
INV002811,2024-01-02,125497,Sip,2631,Uttar Pradesh,Agra,B30,36-45,Male,43.7,Net Banking,VERIFIED,2024-01-02,2631
INV004296,2024-01-02,100025,Sip,879,Telangana,Hyderabad,T30,26-35,Male,18.2,UPI,VERIFIED,2024-01-02,879
INV002976,2024-01-02,119599,Lumpsum,234926,Tamil Nadu,Coimbatore,B30,26-35,Male,23.7,Mandate,VERIFIED,2024-01-02,234926
INV000349,2024-01-02,120505,Redemption,335222,Maharashtra,Mumbai,T30,18-25,Female,3.8,Mandate,VERIFIED,2024-01-02,335222
INV002546,2024-01-02,101208,Redemption,22305,Gujarat,Surat,T30,26-35,Male,19.3,UPI,VERIFIED,2024-01-02,22305
INV003505,2024-01-02,120843,Lumpsum,362856,West Bengal,Kolkata,T30,56+,Female,53.5,Net Banking,VERIFIED,2024-01-02,362856
INV000006,2024-01-02,118633,Sip,8594,Madhya Pradesh,Bhopal,B30,46-55,Female,43.0,Cheque,VERIFIED,2024-01-02,8594
INV000662,2024-01-02,120843,Sip,427,Gujarat,Surat,T30,36-45,Female,20.1,Cheque,VERIFIED,2024-01-02,427
INV001284,2024-01-02,119092,Lumpsum,6499,West Bengal,Kolkata,T30,36-45,Male,49.0,Cheque,VERIFIED,2024-01-02,6499
INV004127,2024-01-02,148568,Sip,4185,Madhya Pradesh,Indore,T30,36-45,Female,27.3,Mandate,VERIFIED,2024-01-02,4185
INV003208,2024-01-02,120506,Sip,2506,Madhya Pradesh,Bhopal,B30,46-55,Male,80.0,Mandate,VERIFIED,2024-01-02,2506
INV002165,2024-01-02,118634,Sip,2539,Telangana,Hyderabad,T30,46-55,Male,46.2,Net Banking,VERIFIED,2024-01-02,2539
INV002621,2024-01-02,148567,Sip,401,Uttar Pradesh,Agra,B30,26-35,Female,22.6,UPI,PENDING,2024-01-02,401
INV004502,2024-01-02,148567,Sip,10492,Rajasthan,Udaipur,B30,36-45,Male,59.0,Net Banking,VERIFIED,2024-01-02,10492
INV001174,2024-01-02,149323,Sip,977,Maharashtra,Nashik,B30,36-45,Male,12.7,Cheque,VERIFIED,2024-01-02,977
INV004658,2024-01-02,120842,Lumpsum,17258,Punjab,Chandigarh,T30,56+,Male,48.7,Cheque,VERIFIED,2024-01-02,17258
INV004656,2024-01-02,120844,Lumpsum,357937,Haryana,Gurugram,T30,18-25,Male,4.7,Mandate,VERIFIED,2024-01-02,357937
INV003658,2024-01-02,125498,Sip,12014,West Bengal,Kolkata,T30,26-35,Male,6.3,UPI,VERIFIED,2024-01-02,12014
INV003649,2024-01-02,119598,Redemption,483596,Haryana,Gurugram,T30,46-55,Female,79.9,Cheque,VERIFIED,2024-01-02,483596
INV004582,2024-01-02,149323,Lumpsum,249744,Tamil Nadu,Chennai,T30,56+,Male,67.1,Net Banking,VERIFIED,2024-01-02,249744
INV003232,2024-01-02,120842,Sip,9766,Maharashtra,Pune,T30,36-45,Female,30.9,Mandate,VERIFIED,2024-01-02,9766
INV004414,2024-01-02,149324,Sip,14409,Uttar Pradesh,Lucknow,T30,26-35,Male,6.6,Mandate,VERIFIED,2024-01-02,14409
INV001799,2024-01-02,119120,Lumpsum,116421,Rajasthan,Udaipur,B30,56+,Female,45.2,Cheque,VERIFIED,2024-01-02,116421
INV001506,2024-01-02,119552,Lumpsum,19502,Delhi,Noida,T30,26-35,Female,16.0,UPI,VERIFIED,2024-01-02,19502
INV001699,2024-01-02,119095,Sip,1108,Madhya Pradesh,Indore,T30,26-35,Male,24.6,Net Banking,VERIFIED,2024-01-02,1108
INV002196,2024-01-02,148569,Sip,1696,Delhi,Gurugram,T30,26-35,Female,23.6,UPI,VERIFIED,2024-01-02,1696
INV001328,2024-01-02,120842,Redemption,484947,Uttar Pradesh,Lucknow,T30,26-35,Male,7.4,Net Banking,VERIFIED,2024-01-02,484947
INV004567,2024-01-02,120841,Sip,14130,Telangana,Hyderabad,T30,56+,Male,75.0,Mandate,VERIFIED,2024-01-02,14130
INV003865,2024-01-02,149322,Sip,3482,Gujarat,Ahmedabad,T30,18-25,Female,3.3,Cheque,VERIFIED,2024-01-02,3482
INV000105,2024-01-02,119093,Sip,5253,Punjab,Chandigarh,T30,56+,Male,41.4,UPI,VERIFIED,2024-01-02,5253
INV004514,2024-01-02,148568,Sip,16661,Haryana,Faridabad,B30,46-55,Male,40.1,Mandate,VERIFIED,2024-01-02,16661
INV004516,2024-01-02,102885,Sip,1137,Haryana,Gurugram,T30,36-45,Male,14.4,Net Banking,VERIFIED,2024-01-02,1137
INV002374,2024-01-02,118634,Redemption,81173,Uttar Pradesh,Kanpur,B30,26-35,Female,8.6,Net Banking,VERIFIED,2024-01-02,81173
INV001727,2024-01-02,119598,Sip,16687,Gujarat,Surat,T30,46-55,Female,74.1,Net Banking,VERIFIED,2024-01-02,16687
INV002888,2024-01-03,100025,Redemption,259110,Rajasthan,Udaipur,B30,26-35,Male,9.2,Net Banking,PENDING,2024-01-03,259110
INV001769,2024-01-03,120506,Sip,889,Punjab,Chandigarh,T30,18-25,Male,7.4,Cheque,PENDING,2024-01-03,889
INV003609,2024-01-03,120843,Sip,16476,Karnataka,Mysore,B30,26-35,Male,9.2,Net Banking,VERIFIED,2024-01-03,16476
INV003571,2024-01-03,149323,Sip,536,Haryana,Faridabad,B30,36-45,Male,53.1,UPI,VERIFIED,2024-01-03,536
INV001367,2024-01-03,118632,Sip,10274,Maharashtra,Nashik,B30,36-45,Male,32.2,Net Banking,VERIFIED,2024-01-03,10274
INV003178,2024-01-03,119094,Lumpsum,118897,Telangana,Hyderabad,T30,46-55,Female,60.9,Cheque,VERIFIED,2024-01-03,118897
INV002599,2024-01-03,100025,Lumpsum,286111,Gujarat,Surat,T30,26-35,Male,11.4,Net Banking,VERIFIED,2024-01-03,286111
INV003626,2024-01-03,125497,Redemption,483044,Madhya Pradesh,Indore,T30,26-35,Male,23.5,Net Banking,VERIFIED,2024-01-03,483044
INV000690,2024-01-03,148569,Lumpsum,173646,Delhi,Gurugram,T30,46-55,Male,98.7,UPI,VERIFIED,2024-01-03,173646
INV001860,2024-01-03,119092,Sip,1978,Karnataka,Mysore,B30,26-35,Female,9.0,Cheque,VERIFIED,2024-01-03,1978
INV002065,2024-01-03,100025,Sip,47647,Rajasthan,Udaipur,B30,46-55,Male,78.6,UPI,VERIFIED,2024-01-03,47647
INV002708,2024-01-03,120504,Redemption,205486,Karnataka,Mysore,B30,26-35,Male,14.0,Mandate,VERIFIED,2024-01-03,205486
INV004288,2024-01-03,119120,Lumpsum,95676,Punjab,Amritsar,B30,18-25,Female,6.1,Mandate,VERIFIED,2024-01-03,95676
INV004581,2024-01-03,120505,Sip,2292,Gujarat,Surat,T30,26-35,Male,14.7,Cheque,PENDING,2024-01-03,2292
INV002467,2024-01-03,125498,Sip,50948,Punjab,Chandigarh,T30,36-45,Male,12.3,UPI,VERIFIED,2024-01-03,50948
INV003670,2024-01-03,120505,Sip,8793,Punjab,Chandigarh,T30,36-45,Male,38.4,Mandate,VERIFIED,2024-01-03,8793
INV004024,2024-01-03,119552,Sip,43121,Telangana,Hyderabad,T30,36-45,Male,23.1,UPI,VERIFIED,2024-01-03,43121
INV000747,2024-01-03,120841,Lumpsum,374549,West Bengal,Kolkata,T30,36-45,Female,40.3,Mandate,VERIFIED,2024-01-03,374549
INV002847,2024-01-03,148567,Sip,4736,Haryana,Faridabad,B30,26-35,Male,13.4,Mandate,VERIFIED,2024-01-03,4736
INV001508,2024-01-03,120503,Sip,7953,Tamil Nadu,Coimbatore,B30,46-55,Male,63.3,Cheque,VERIFIED,2024-01-03,7953
INV004562,2024-01-03,149324,Sip,963,Telangana,Hyderabad,T30,26-35,Female,19.0,Cheque,PENDING,2024-01-03,963
INV001350,2024-01-03,125498,Lumpsum,83480,Madhya Pradesh,Bhopal,B30,46-55,Female,31.7,Net Banking,VERIFIED,2024-01-03,83480
INV002357,2024-01-03,100016,Sip,26713,Delhi,Gurugram,T30,26-35,Male,7.8,UPI,VERIFIED,2024-01-03,26713
INV002059,2024-01-03,101208,Lumpsum,268619,Haryana,Faridabad,B30,46-55,Male,95.1,Net Banking,VERIFIED,2024-01-03,268619
INV000595,2024-01-03,102887,Lumpsum,124825,Gujarat,Surat,T30,18-25,Male,7.6,Cheque,VERIFIED,2024-01-03,124825
INV004391,2024-01-03,118636,Sip,484,Maharashtra,Mumbai,T30,26-35,Female,23.3,UPI,VERIFIED,2024-01-03,484
INV004733,2024-01-03,102885,Sip,7080,Telangana,Hyderabad,T30,18-25,Male,5.4,Net Banking,PENDING,2024-01-03,7080
INV002865,2024-01-03,148569,Redemption,449863,Maharashtra,Pune,T30,18-25,Male,3.3,UPI,VERIFIED,2024-01-03,449863
INV000454,2024-01-03,119599,Sip,15910,Uttar Pradesh,Lucknow,T30,18-25,Female,6.6,Net Banking,VERIFIED,2024-01-03,15910
INV002414,2024-01-03,120507,Lumpsum,396379,Gujarat,Surat,T30,26-35,Female,24.1,UPI,VERIFIED,2024-01-03,396379
INV000321,2024-01-03,149323,Sip,15782,Maharashtra,Mumbai,T30,26-35,Male,24.2,Cheque,VERIFIED,2024-01-03,15782
INV003379,2024-01-03,120841,Sip,1008,Uttar Pradesh,Lucknow,T30,36-45,Male,43.2,Cheque,VERIFIED,2024-01-03,1008
INV004544,2024-01-03,148567,Redemption,410715,Maharashtra,Mumbai,T30,36-45,Male,52.1,Cheque,VERIFIED,2024-01-03,410715
INV000527,2024-01-03,119094,Lumpsum,114021,Telangana,Hyderabad,T30,26-35,Male,12.1,Mandate,VERIFIED,2024-01-03,114021
INV004633,2024-01-03,125498,Lumpsum,296354,Telangana,Hyderabad,T30,18-25,Female,4.9,Net Banking,VERIFIED,2024-01-03,296354
INV003737,2024-01-03,119093,Lumpsum,126721,Punjab,Chandigarh,T30,18-25,Male,4.4,Net Banking,VERIFIED,2024-01-03,126721
INV000679,2024-01-03,149323,Redemption,141968,Haryana,Faridabad,B30,46-55,Female,79.1,UPI,VERIFIED,2024-01-03,141968
INV004357,2024-01-03,125498,Sip,2459,Delhi,Gurugram,T30,46-55,Female,55.6,Cheque,VERIFIED,2024-01-03,2459
INV004941,2024-01-03,120505,Lumpsum,310085,Maharashtra,Nashik,B30,26-35,Male,11.0,Net Banking,VERIFIED,2024-01-03,310085
INV000632,2024-01-03,120844,Lumpsum,246606,Delhi,Gurugram,T30,36-45,Male,49.1,UPI,VERIFIED,2024-01-03,246606
INV000849,2024-01-03,148567,Lumpsum,254442,Delhi,Gurugram,T30,56+,Female,32.5,Cheque,VERIFIED,2024-01-03,254442
INV001167,2024-01-03,118636,Sip,41124,Punjab,Amritsar,B30,36-45,Male,26.7,Net Banking,VERIFIED,2024-01-03,41124
INV000007,2024-01-03,119094,Sip,13603,Uttar Pradesh,Kanpur,B30,26-35,Male,21.9,Mandate,VERIFIED,2024-01-03,13603
INV000431,2024-01-03,120504,Sip,23759,Madhya Pradesh,Bhopal,B30,18-25,Female,4.6,Mandate,VERIFIED,2024-01-03,23759
INV002417,2024-01-03,120842,Sip,2719,Tamil Nadu,Coimbatore,B30,26-35,Male,16.8,Mandate,VERIFIED,2024-01-03,2719
INV000011,2024-01-03,120507,Sip,2230,West Bengal,Kolkata,T30,26-35,Male,9.6,Mandate,VERIFIED,2024-01-03,2230
INV001167,2024-01-03,102886,Sip,8419,Punjab,Amritsar,B30,36-45,Male,26.7,UPI,VERIFIED,2024-01-03,8419
INV000954,2024-01-03,148568,Sip,2224,Haryana,Faridabad,B30,26-35,Female,8.3,Cheque,VERIFIED,2024-01-03,2224
INV002101,2024-01-03,102887,Redemption,234810,Uttar Pradesh,Lucknow,T30,26-35,Male,14.7,Mandate,VERIFIED,2024-01-03,234810
INV000947,2024-01-03,101208,Redemption,281989,Delhi,Noida,T30,26-35,Male,11.0,UPI,VERIFIED,2024-01-03,281989
INV004867,2024-01-03,100033,Lumpsum,331777,Karnataka,Bangalore,T30,18-25,Male,7.3,Mandate,VERIFIED,2024-01-03,331777
INV004125,2024-01-03,100016,Sip,2999,Gujarat,Surat,T30,26-35,Male,9.4,Cheque,VERIFIED,2024-01-03,2999
INV001910,2024-01-03,102886,Redemption,502057,Karnataka,Mysore,B30,26-35,Female,15.2,Mandate,VERIFIED,2024-01-03,502057
INV001411,2024-01-03,102886,Sip,2998,Delhi,Gurugram,T30,26-35,Female,7.1,Cheque,VERIFIED,2024-01-03,2998
INV003326,2024-01-03,125498,Sip,2712,Karnataka,Bangalore,T30,36-45,Male,40.9,Mandate,VERIFIED,2024-01-03,2712
INV004173,2024-01-03,120504,Sip,479,West Bengal,Kolkata,T30,26-35,Male,16.9,Mandate,VERIFIED,2024-01-03,479
INV004867,2024-01-03,120506,Sip,3082,Karnataka,Bangalore,T30,18-25,Male,7.3,UPI,PENDING,2024-01-03,3082
INV001454,2024-01-03,120843,Sip,554,Tamil Nadu,Chennai,T30,26-35,Male,9.3,Net Banking,VERIFIED,2024-01-03,554
INV003100,2024-01-04,149324,Lumpsum,361700,Telangana,Hyderabad,T30,26-35,Male,16.5,Net Banking,VERIFIED,2024-01-04,361700
INV000215,2024-01-04,120505,Lumpsum,190843,Maharashtra,Nashik,B30,26-35,Female,18.3,Mandate,VERIFIED,2024-01-04,190843
INV003191,2024-01-04,119092,Lumpsum,94475,Madhya Pradesh,Bhopal,B30,18-25,Female,6.8,Mandate,VERIFIED,2024-01-04,94475
INV003946,2024-01-04,120504,Lumpsum,465127,Karnataka,Mysore,B30,26-35,Female,9.2,Net Banking,VERIFIED,2024-01-04,465127
INV000330,2024-01-04,119552,Sip,8747,Madhya Pradesh,Bhopal,B30,26-35,Female,11.9,Mandate,VERIFIED,2024-01-04,8747
INV004797,2024-01-04,125497,Lumpsum,178854,Gujarat,Ahmedabad,T30,56+,Male,18.9,Net Banking,VERIFIED,2024-01-04,178854
INV000330,2024-01-04,120841,Lumpsum,351770,Madhya Pradesh,Bhopal,B30,26-35,Female,11.9,Net Banking,VERIFIED,2024-01-04,351770
INV001128,2024-01-04,120844,Lumpsum,168521,West Bengal,Kolkata,T30,36-45,Female,43.2,Cheque,VERIFIED,2024-01-04,168521
INV002302,2024-01-04,125498,Lumpsum,153713,West Bengal,Kolkata,T30,26-35,Male,10.1,UPI,VERIFIED,2024-01-04,153713
INV002495,2024-01-04,118636,Sip,2727,Maharashtra,Nashik,B30,26-35,Male,6.6,Net Banking,VERIFIED,2024-01-04,2727
INV002158,2024-01-04,120507,Lumpsum,39096,Madhya Pradesh,Indore,T30,26-35,Male,14.5,Net Banking,VERIFIED,2024-01-04,39096
INV000144,2024-01-04,120503,Sip,499,Delhi,Noida,T30,26-35,Male,19.1,Net Banking,VERIFIED,2024-01-04,499
INV004563,2024-01-04,118634,Lumpsum,38117,Gujarat,Surat,T30,46-55,Female,32.2,Cheque,VERIFIED,2024-01-04,38117
INV002912,2024-01-04,149323,Redemption,520148,Maharashtra,Mumbai,T30,26-35,Female,23.6,Net Banking,VERIFIED,2024-01-04,520148
INV002343,2024-01-04,119093,Sip,1182,Punjab,Amritsar,B30,26-35,Male,22.1,Net Banking,VERIFIED,2024-01-04,1182
INV000091,2024-01-04,120504,Sip,2368,Haryana,Gurugram,T30,26-35,Male,14.6,Mandate,VERIFIED,2024-01-04,2368
