company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
68,2024,+,-,-,Reinvestor
69,2020,+,-,-,Reinvestor
69,2021,+,-,-,Reinvestor
69,2022,+,-,-,Reinvestor
69,2023,+,-,-,Reinvestor
69,2024,+,-,-,Reinvestor
70,2020,+,-,-,Reinvestor
70,2021,+,-,-,Reinvestor
70,2022,+,-,-,Reinvestor
70,2023,+,-,-,Reinvestor
70,2024,+,-,-,Reinvestor
71,2020,+,-,-,Reinvestor
71,2021,+,-,-,Reinvestor
71,2022,+,-,-,Reinvestor
71,2023,+,-,-,Reinvestor
71,2024,+,-,-,Reinvestor
72,2020,+,-,-,Reinvestor
72,2021,+,-,-,Reinvestor
72,2022,+,-,-,Reinvestor
72,2023,+,-,-,Reinvestor
72,2024,+,-,-,Reinvestor
73,2020,+,-,-,Reinvestor
73,2021,+,-,-,Reinvestor
73,2022,+,-,-,Reinvestor
73,2023,+,-,-,Reinvestor
73,2024,+,-,-,Reinvestor
74,2020,+,-,-,Reinvestor
74,2021,+,-,-,Reinvestor
74,2022,+,-,-,Reinvestor
74,2023,+,-,-,Reinvestor
74,2024,+,-,-,Reinvestor
75,2020,+,-,-,Reinvestor
75,2021,+,-,-,Reinvestor
75,2022,+,-,-,Reinvestor
75,2023,+,-,-,Reinvestor
75,2024,+,-,-,Reinvestor
76,2020,+,-,-,Reinvestor
76,2021,+,-,-,Reinvestor
76,2022,+,-,-,Reinvestor
76,2023,+,-,-,Reinvestor
76,2024,+,-,-,Reinvestor
77,2020,+,-,-,Reinvestor
77,2021,+,-,-,Reinvestor
77,2022,+,-,-,Reinvestor
77,2023,+,-,-,Reinvestor
77,2024,+,-,-,Reinvestor
78,2020,+,-,-,Reinvestor
78,2021,+,-,-,Reinvestor
78,2022,+,-,-,Reinvestor
78,2023,+,-,-,Reinvestor
78,2024,+,-,-,Reinvestor
79,2020,+,-,-,Reinvestor
79,2021,+,-,-,Reinvestor
79,2022,+,-,-,Reinvestor
79,2023,+,-,-,Reinvestor
79,2024,+,-,-,Reinvestor
80,2020,+,-,-,Reinvestor
80,2021,+,-,-,Reinvestor
80,2022,+,-,-,Reinvestor
80,2023,+,-,-,Reinvestor
80,2024,+,-,-,Reinvestor
81,2020,+,-,-,Reinvestor
81,2021,+,-,-,Reinvestor
81,2022,+,-,-,Reinvestor
81,2023,+,-,-,Reinvestor
81,2024,+,-,-,Reinvestor
82,2020,+,-,-,Reinvestor
82,2021,+,-,-,Reinvestor
82,2022,+,-,-,Reinvestor
82,2023,+,-,-,Reinvestor
82,2024,+,-,-,Reinvestor
83,2020,+,-,-,Reinvestor
83,2021,+,-,-,Reinvestor
83,2022,+,-,-,Reinvestor
83,2023,+,-,-,Reinvestor
83,2024,+,-,-,Reinvestor
84,2020,+,-,-,Reinvestor
84,2021,+,-,-,Reinvestor
84,2022,+,-,-,Reinvestor
84,2023,+,-,-,Reinvestor
84,2024,+,-,-,Reinvestor
85,2020,+,-,-,Reinvestor
85,2021,+,-,-,Reinvestor
85,2022,+,-,-,Reinvestor
85,2023,+,-,-,Reinvestor
85,2024,+,-,-,Reinvestor
86,2020,+,-,-,Reinvestor
86,2021,+,-,-,Reinvestor
86,2022,+,-,-,Reinvestor
86,2023,+,-,-,Reinvestor
86,2024,+,-,-,Reinvestor
87,2020,+,-,-,Reinvestor
87,2021,+,-,-,Reinvestor
87,2022,+,-,-,Reinvestor
87,2023,+,-,-,Reinvestor
87,2024,+,-,-,Reinvestor
88,2020,+,-,-,Reinvestor
88,2021,+,-,-,Reinvestor
88,2022,+,-,-,Reinvestor
88,2023,+,-,-,Reinvestor
88,2024,+,-,-,Reinvestor
89,2020,+,-,-,Reinvestor
89,2021,+,-,-,Reinvestor
89,2022,+,-,-,Reinvestor
89,2023,+,-,-,Reinvestor
89,2024,+,-,-,Reinvestor
90,2020,+,-,-,Reinvestor
90,2021,+,-,-,Reinvestor
90,2022,+,-,-,Reinvestor
90,2023,+,-,-,Reinvestor
90,2024,+,-,-,Reinvestor
91,2020,+,-,-,Reinvestor
91,2021,+,-,-,Reinvestor
91,2022,+,-,-,Reinvestor
91,2023,+,-,-,Reinvestor
91,2024,+,-,-,Reinvestor
92,2020,+,-,-,Reinvestor
92,2021,+,-,-,Reinvestor
92,2022,+,-,-,Reinvestor
92,2023,+,-,-,Reinvestor
92,2024,+,-,-,Reinvestor
